timestamp,snr,sigma,nmse,ber,x_true_0,x_true_1,x_true_2,x_true_3,x_true_4,x_true_5,x_true_6,x_true_7,x_true_8,x_true_9,x_true_10,x_true_11,x_true_12,x_true_13,x_true_14,x_true_15,x_true_16,x_true_17,x_true_18,x_true_19,x_pred_0,x_pred_1,x_pred_2,x_pred_3,x_pred_4,x_pred_5,x_pred_6,x_pred_7,x_pred_8,x_pred_9,x_pred_10,x_pred_11,x_pred_12,x_pred_13,x_pred_14,x_pred_15,x_pred_16,x_pred_17,x_pred_18,x_pred_19
2025-01-08 18:53:05.925566,-15,5.623413251903491,-3.0933391945122795,0.1,1,1,-1,-1,1,1,-1,1,1,-1,-1,1,-1,-1,-1,-1,-1,1,1,-1,0.256513576004,0.053072166574325,0.181853973668475,-0.291691123356,0.1557830870605,0.8369693167225001,-0.22556419647575,0.64531777176725,0.6364679300991499,-0.38992230844225,-0.5232955164022501,0.0203016396671249,-0.29619075638585,-0.3610724473142,-0.5214158929625,0.018109791170787,-0.78350253528775,0.5996919127429251,0.109153888125075,-0.630462145445
2025-01-08 18:53:07.109412,-15,5.623413251903491,-2.5377204851985176,0.05,1,1,1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,1,1,-1,-1,-1,1,0.12472636985275,0.2734986576829,0.021200185498325,0.014138650375675,-0.07816810379675,0.3909012924755,0.7360189811825,-0.13492840227875,-0.17219630887775,-0.43479386812525,0.121271916994475,0.3388887651593349,-0.6159059806325,-0.1638035025811,0.5991061981827499,0.177288953305325,-0.176933413229625,-0.1061130919018,-0.5362239160112499,0.50960193359275
2025-01-08 18:53:08.293479,-15,5.623413251903491,-6.242136518787743,0.0,-1,-1,1,-1,-1,1,1,-1,-1,1,-1,-1,1,1,-1,1,-1,1,1,1,-0.7759842443025,-0.324770009857,0.54871387084105,-0.1500662427015,-0.959890705525,0.6264597475,1.05293920425,-0.14014303939125,-0.38959144052625,0.4791853511225,-0.99943847025,-0.918156295685,0.894283934275,0.53272154056,-0.5762408719115499,0.56940376945,-0.22586791939055,0.5464607114079999,0.456271972536425,0.6996567398375
2025-01-08 18:53:09.461841,-15,5.623413251903491,-3.4926215168049923,0.1,-1,-1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,-1,-1,-1,1,1,-1,-0.6219139643975,-0.255950294267575,0.31105039407475,-0.39000950849225,-0.1157567924399999,1.037585630625,0.397492150616,0.38293224868175,1.0013259371,0.5164336118002499,-0.59534881043025,-0.4341558609329999,-0.2094431780569499,0.626722476551,-0.0775275409916249,0.0266822540390875,-0.6342488012525,-0.0700977211254999,0.415019840479,-0.067110226807275
2025-01-08 18:53:10.518110,-15,5.623413251903491,-2.799727156180833,0.1,1,1,1,1,-1,-1,-1,1,1,1,-1,1,1,-1,1,1,1,1,-1,1,0.7807525104349999,0.186085386992,0.34325028799615,0.3735942171182,-0.25101471905,-0.5305776004725,-0.3955892912595,0.1802638692096,0.1800784676175,0.6762530285425,-0.05278288949815,0.1429734606926925,0.3153163449055,-0.2121142874359,0.4931386355467499,0.3049922307435,0.49414637899075,-0.0414234175969999,0.20639470622225,0.6686014375975
2025-01-08 18:53:11.743286,-15,5.623413251903491,-2.8889887230673272,0.1,1,-1,-1,1,1,1,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,-1,1,-1,0.07997793393825,0.02131375151125,-0.43851827640575,0.3344960913715,0.330988835233075,0.2537171298255,-0.25265697690675,0.62152625287125,0.064657546031875,-0.18064470043175,0.2708379614969999,-0.378043420847825,-0.42766498579,-0.2531884906435,-0.241810905195975,0.0986514958500749,0.60143670463,-0.6558897542075001,0.6402962422074999,-0.374890547303
2025-01-08 18:53:12.853211,-15,5.623413251903491,-4.136768624630845,0.0,1,1,1,-1,-1,1,-1,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,1,1,0.6994760186975,0.026501699621175,0.8668737831775,-0.74241731013,-0.4086127383205,0.471384247349,-0.43216915023525,-0.379347893291,0.38308946766025,-0.228785275804925,-0.259771716482075,-0.4416295374855,0.347939550726125,0.0940556913536999,-0.24310991694295,0.4924903576355,-0.466340154156,-0.8058767527499999,0.2784100748649,0.29161827541825
2025-01-08 18:53:14.108123,-15,5.623413251903491,-3.793948296428965,0.1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,-1,1,1,-1,-0.48535164599745,-0.7031813913549999,-0.223148508242225,0.686860780535,-0.0152918158435825,-0.267074408898575,0.031037308590025,-0.5211429670765,-0.37935768962145,0.525352163220275,-0.3899109101362499,0.58131588591025,-0.5052837280892499,0.72112285047,0.202936939966125,0.268356619657575,-0.27600779447095,0.2673379582168275,0.3545595004815725,-0.447294851772075
2025-01-08 18:53:15.364333,-15,5.623413251903491,-2.124401088891976,0.2,-1,1,-1,-1,-1,1,1,-1,1,-1,-1,-1,1,1,-1,-1,1,-1,1,-1,-0.44673236755125,0.290844088527,-0.03990317940825,-0.4402109263125,-0.1411357794357999,0.31372089693475,0.43672736385825,-0.133983438103625,-0.05543998982325,-0.5376028000574999,-0.215043045266375,0.07659414396675,0.18817704955275,0.33205399516425,-0.37953981954575,-0.3062177573139,0.10089614817275,0.005405171308825,0.8586792699499999,0.01443258162675
2025-01-08 18:53:16.502558,-15,5.623413251903491,-4.520851201121341,0.1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,1,-1,1,1,-1,-1,-0.432746134372,-0.6407737080470499,0.35042826616975,-0.462002249891,0.9032544536825,0.181458211568275,0.57685534764875,0.6716136514675,1.047488260165,-0.6790860371067501,0.7423941162775,-0.095958898335425,0.3929144272405,0.3032760545224999,0.7774271144575,-0.798190486125,0.3022870451125,-0.3264558733397499,-0.5577959324875,-0.58165716936025
